cargo_category,cargo_type,vessel_type,min_dwt,max_dwt,draft,loa,beam
Dry Bulk,Clinker,Handysize,20976,33605,7.1,175.4,30.7
Liquid Bulk,Vegetable Oil,LR1 Tanker,59444,74900,11.6,237.3,34.6
Dry Bulk,Iron Ore,Supramax,49278,59218,11.2,200.3,30.1
Dry Bulk,Coal,Panamax,57954,83993,13.0,220.1,32.2
Liquid Bulk,Gasoline,LR1 Tanker,59481,70318,13.2,227.3,36.2
Dry Bulk,Grain,Capesize,125052,193195,16.2,293.6,45.1
Dry Bulk,Clinker,Supramax,40945,58647,10.5,205.6,32.8
Liquid Bulk,Petroleum Products,MR Tanker,56023,56523,10.5,169.8,31.2
Liquid Bulk,Fuel Oil,Aframax,82612,102911,14.4,250.6,43.9
Liquid Bulk,Fuel Oil,Aframax,83290,95701,14.8,257.6,41.7
Dry Bulk,Grain,Supramax,54402,58675,9.9,195.6,32.0
Liquid Bulk,Crude Oil,Suezmax,216800,217300,15.9,268.3,46.3
Dry Bulk,Bauxite,Handysize,34690,38120,7.9,169.0,30.6
Dry Bulk,Iron Ore,Supramax,45307,51634,10.8,191.1,32.3
Liquid Bulk,Vegetable Oil,MR Tanker,34822,54861,11.3,184.8,32.6
Dry Bulk,Clinker,Handysize,23215,28121,7.2,174.6,29.2
Liquid Bulk,Crude Oil,Suezmax,187271,189294,15.9,268.2,47.7
Dry Bulk,Grain,Panamax,61214,76431,12.5,247.8,32.8
Bulk Gases,Butane,LPG Carrier,36340,36840,9.6,193.2,29.7
Liquid Bulk,Crude Oil,Aframax,104015,117511,14.1,238.9,40.6
Dry Bulk,Bauxite,Handysize,16557,39205,7.5,182.5,28.2
Dry Bulk,Salt,Supramax,54871,55886,9.7,207.4,30.5
Bulk Gases,LNG,LNG Carrier,151883,152383,11.9,302.6,46.6
Liquid Bulk,Petroleum Products,Suezmax,182415,182915,15.9,271.4,47.7
Dry Bulk,Clinker,Handysize,20023,34673,7.4,180.8,32.2
Dry Bulk,Cement,Handysize,22885,23385,7.6,182.8,29.6
Bulk Gases,LPG,LPG Carrier,23804,54482,9.7,179.7,30.6
Liquid Bulk,Petroleum Products,Suezmax,133246,171116,15.9,276.2,47.4
Liquid Bulk,Chemicals,Aframax,88815,123444,13.9,247.6,42.4
Liquid Bulk,Chemicals,MR Tanker,39684,50870,10.3,192.8,31.1
Dry Bulk,Grain,Supramax,47210,50209,11.1,193.6,33.2
Dry Bulk,Grain,Handysize,28317,31022,8.4,175.5,31.2
Bulk Gases,LPG,LNG Carrier,104833,157904,11.9,296.5,45.4
Dry Bulk,Iron Ore,Supramax,46777,54913,10.8,201.2,31.1
Dry Bulk,Cement,Panamax,92114,92614,13.2,225.6,32.0
Liquid Bulk,Vegetable Oil,MR Tanker,43867,57970,11.0,184.0,31.2
Liquid Bulk,Crude Oil,Suezmax,183712,187613,14.9,261.5,47.8
Dry Bulk,Fertilizer,Handysize,19170,25554,7.5,183.8,31.2
Bulk Gases,Propane,LPG Carrier,28314,53997,9.5,171.2,29.7
Liquid Bulk,Crude Oil,MR Tanker,37218,37718,11.1,190.2,34.3
Bulk Gases,LPG,LPG Carrier,43699,53699,10.1,172.4,28.5
Dry Bulk,Bauxite,Panamax,76049,76549,12.1,226.6,34.0
Dry Bulk,Bauxite,Supramax,50462,50962,10.7,203.1,32.9
Dry Bulk,Iron Ore,Supramax,50774,60103,10.9,201.7,32.4
Liquid Bulk,Crude Oil,Suezmax,184965,185465,16.0,268.3,47.8
Dry Bulk,Clinker,Supramax,47943,59857,10.6,204.6,30.4
Bulk Gases,LNG,LNG Carrier,107177,175269,12.3,297.3,46.4
Dry Bulk,Grain,Capesize,129414,206687,15.8,283.2,46.3
Liquid Bulk,Chemicals,Suezmax,147236,162024,15.6,282.8,50.4
Dry Bulk,Cement,Capesize,148986,160468,16.8,284.0,44.5
Dry Bulk,Cement,Capesize,160578,208920,16.1,285.6,47.2
Liquid Bulk,Petroleum Products,Suezmax,136664,161535,15.9,281.1,47.4
Liquid Bulk,Petroleum Products,Suezmax,172770,173270,15.9,273.5,47.9
Liquid Bulk,Vegetable Oil,Suezmax,173523,181848,16.2,268.9,47.3
Liquid Bulk,Diesel,Aframax,98547,111317,14.1,239.9,42.4
Dry Bulk,Bauxite,Panamax,77222,89675,12.3,233.4,32.9
Dry Bulk,Bauxite,Supramax,44565,53368,10.5,198.8,33.6
Dry Bulk,Coal,Capesize,164989,183270,16.7,291.9,45.4
Dry Bulk,Clinker,Supramax,49517,54994,10.8,209.1,31.1
Liquid Bulk,Petroleum Products,Suezmax,141844,155391,15.7,285.7,47.7
Liquid Bulk,Crude Oil,Suezmax,181648,182148,15.8,266.2,48.6
Liquid Bulk,Chemicals,LR1 Tanker,69505,70005,13.0,230.0,35.6
Dry Bulk,Bauxite,Panamax,77457,79957,12.2,238.9,33.9
Liquid Bulk,Gasoline,Suezmax,131928,183091,15.9,281.6,48.0
Liquid Bulk,Diesel,Suezmax,143287,190011,16.6,276.4,48.8
Dry Bulk,Bauxite,Capesize,133484,158162,15.5,296.5,44.5
Liquid Bulk,Fuel Oil,Suezmax,157597,158097,16.1,271.4,47.4
Dry Bulk,Clinker,Capesize,99907,166827,16.0,278.1,44.8
Bulk Gases,LNG,Gas Carrier,29383,29883,8.4,181.8,28.5
Dry Bulk,Steel Products,Capesize,80717,170075,15.8,285.3,45.7
Dry Bulk,Steel Products,Capesize,155635,188278,16.1,297.3,44.4
Bulk Gases,LNG,LPG Carrier,39491,53907,9.8,165.5,28.2
Dry Bulk,Clinker,Supramax,57981,58597,10.9,207.1,31.3
Liquid Bulk,Vegetable Oil,Suezmax,146326,164084,17.4,267.4,48.9
Dry Bulk,Steel Products,Panamax,70814,90495,13.2,232.0,32.0
Liquid Bulk,Chemicals,MR Tanker,57313,57813,10.2,181.5,33.0
Dry Bulk,Bauxite,Supramax,46006,60118,10.0,207.3,33.1
Bulk Gases,LNG,Gas Carrier,18383,32305,8.9,173.0,29.4
Dry Bulk,Clinker,Capesize,120835,184742,16.4,290.9,45.4
Dry Bulk,Cement,Panamax,80313,85339,13.2,244.1,32.6
Dry Bulk,Cement,Handysize,32292,32792,7.8,173.6,29.1
Dry Bulk,Bauxite,Panamax,78778,95518,12.9,238.4,31.2
Dry Bulk,Iron Ore,Supramax,52581,53081,10.1,205.1,30.8
Dry Bulk,Clinker,Supramax,54473,54973,10.2,203.3,33.0
Liquid Bulk,Diesel,MR Tanker,21488,42539,9.4,187.9,32.0
Dry Bulk,Bauxite,Panamax,74256,89782,12.1,225.1,34.0
Dry Bulk,Grain,Capesize,141030,165392,16.6,280.1,46.9
Bulk Gases,Ammonia,LNG Carrier,151285,151785,12.4,271.2,45.7
Dry Bulk,Grain,Panamax,65647,93208,12.7,228.7,31.3
Bulk Gases,Ethylene,Gas Carrier,30786,31286,8.9,163.4,27.9
Liquid Bulk,Vegetable Oil,MR Tanker,35940,50647,11.3,188.8,32.1
Liquid Bulk,Crude Oil,Suezmax,173373,178281,16.8,272.0,47.6
Dry Bulk,Grain,Panamax,76419,92736,12.9,240.4,33.5
Bulk Gases,LNG,LNG Carrier,126160,151414,12.2,297.0,46.4
Dry Bulk,Salt,Handysize,44731,45231,8.5,187.6,31.6
Liquid Bulk,Crude Oil,Aframax,98805,114420,14.3,256.9,41.7
Dry Bulk,Bauxite,Panamax,70666,95696,12.0,235.0,31.6
Dry Bulk,Iron Ore,Supramax,44568,59916,10.4,200.5,33.5
Liquid Bulk,Diesel,LR1 Tanker,58946,70208,12.6,220.7,34.0
Liquid Bulk,Crude Oil,LR1 Tanker,81125,81625,12.8,213.0,34.3
Liquid Bulk,Diesel,Aframax,106553,117987,14.5,244.1,40.8
Liquid Bulk,Gasoline,Aframax,102217,107109,13.7,243.1,42.7
Liquid Bulk,Petroleum Products,MR Tanker,44119,54110,10.8,174.2,32.8
Dry Bulk,Fertilizer,Capesize,144952,169698,16.4,295.7,44.1
Dry Bulk,Iron Ore,Supramax,43483,49761,10.7,204.3,31.4
Liquid Bulk,Crude Oil,Suezmax,131958,191235,17.0,286.0,48.7
Dry Bulk,Steel Products,Supramax,47242,51724,10.9,198.4,31.7
Liquid Bulk,Vegetable Oil,Suezmax,207268,207768,16.4,273.4,47.9
Bulk Gases,Ammonia,LNG Carrier,68401,164260,12.6,282.0,45.2
Dry Bulk,Coal,Handysize,30214,30714,8.1,173.7,30.1
Dry Bulk,Clinker,Handysize,22628,25624,7.4,175.1,31.2
Dry Bulk,Cement,Supramax,56093,57194,10.5,207.3,32.1
Dry Bulk,Cement,Capesize,178428,178928,16.8,285.5,44.5
Liquid Bulk,Chemicals,Aframax,96695,97195,14.3,244.0,43.9
Bulk Gases,LNG,LNG Carrier,131832,132332,11.9,273.9,48.3
Liquid Bulk,Chemicals,MR Tanker,18991,45707,11.0,193.2,33.8
Dry Bulk,Steel Products,Supramax,47040,57234,10.4,186.9,30.8
Dry Bulk,Cement,Panamax,60977,93387,12.6,232.6,33.1
Dry Bulk,Cement,Supramax,52024,57977,11.6,191.6,30.0
Dry Bulk,Salt,Supramax,46514,55283,10.6,204.5,30.9
Liquid Bulk,Crude Oil,Aframax,87310,121044,14.6,246.7,42.4
Liquid Bulk,Gasoline,Aframax,99385,108530,14.1,238.6,43.4
Liquid Bulk,Fuel Oil,LR1 Tanker,74839,76686,12.6,236.7,34.0
Liquid Bulk,Vegetable Oil,Aframax,111943,112443,13.9,246.2,41.4
Dry Bulk,Salt,Capesize,166434,208334,16.7,293.7,43.8
Liquid Bulk,Gasoline,Suezmax,155380,179274,16.5,268.3,47.3
Liquid Bulk,Diesel,Aframax,101655,117684,14.2,251.6,40.5
Liquid Bulk,Gasoline,MR Tanker,45080,45596,12.2,195.4,32.7
Bulk Gases,Ammonia,LNG Carrier,66805,102659,12.8,278.9,46.0
Liquid Bulk,Vegetable Oil,Aframax,123615,124115,13.5,233.8,41.9
Dry Bulk,Grain,Handysize,16611,29461,7.3,175.5,29.1
Liquid Bulk,Crude Oil,Suezmax,154312,168348,16.3,279.5,47.2
Bulk Gases,LPG,LPG Carrier,44125,45243,9.2,182.6,30.5
Dry Bulk,Coal,Supramax,40776,54258,10.6,201.9,31.4
Dry Bulk,Clinker,Capesize,135730,199262,15.8,301.0,43.7
Dry Bulk,Clinker,Handysize,25409,28621,7.4,166.1,31.7
Bulk Gases,LPG,LPG Carrier,31046,52146,10.2,194.0,29.4
Liquid Bulk,Diesel,Aframax,99119,113659,14.2,238.6,44.3
Bulk Gases,Ammonia,LNG Carrier,97278,149556,11.9,283.2,46.5
Dry Bulk,Clinker,Supramax,49980,50480,10.7,192.7,30.9
Dry Bulk,Bauxite,Handysize,33820,34320,7.8,184.2,29.6
Dry Bulk,Salt,Capesize,149255,162904,16.8,291.8,45.7
Dry Bulk,Cement,Supramax,59179,59679,10.5,196.1,32.0
Dry Bulk,Cement,Supramax,54116,60554,10.4,195.9,33.0
Dry Bulk,Grain,Panamax,80407,80907,11.6,227.2,32.9
Dry Bulk,Steel Products,Capesize,163612,164112,16.5,292.8,43.7
Bulk Gases,LPG,LPG Carrier,34687,37546,9.4,169.4,28.3
Dry Bulk,Bauxite,Handysize,39563,40063,7.1,180.7,30.2
Dry Bulk,Cement,Panamax,80646,87136,13.1,226.7,33.2
Liquid Bulk,Vegetable Oil,LR1 Tanker,70125,72370,11.9,237.2,34.3
Dry Bulk,Fertilizer,Capesize,148044,185939,15.6,306.9,44.7
Dry Bulk,Salt,Handysize,19660,38793,8.5,165.9,28.8
Dry Bulk,Cement,Panamax,70670,102834,12.6,243.6,32.6
Dry Bulk,Grain,Panamax,60805,97208,12.7,224.5,31.7
Bulk Gases,LNG,Gas Carrier,18550,28685,9.3,163.8,28.4
Bulk Gases,Butane,LNG Carrier,125193,154230,11.7,294.3,44.5
Dry Bulk,Grain,Handysize,21134,25310,7.8,180.5,30.4
Dry Bulk,Fertilizer,Capesize,133340,153255,16.7,290.0,44.6
Bulk Gases,Propane,Gas Carrier,12692,22329,10.0,157.0,26.4
Dry Bulk,Steel Products,Panamax,73154,92887,12.2,219.2,31.1
Liquid Bulk,Vegetable Oil,Suezmax,153488,165814,17.3,287.2,48.9
Dry Bulk,Coal,Supramax,51575,56533,11.0,200.8,31.1
Dry Bulk,Salt,Supramax,62749,63249,11.1,212.3,30.1
Liquid Bulk,Vegetable Oil,Aframax,85682,104679,14.0,251.7,41.5
Liquid Bulk,Diesel,Suezmax,192102,192602,16.3,271.4,48.5
Dry Bulk,Grain,Capesize,161915,192183,15.6,293.2,44.2
Liquid Bulk,Chemicals,MR Tanker,32248,51514,10.2,183.7,31.1
Bulk Gases,LPG,LPG Carrier,47829,52736,10.0,186.6,30.1
Dry Bulk,Grain,Supramax,51136,60140,11.2,193.4,33.2
Dry Bulk,Clinker,Capesize,143596,209315,15.5,285.2,44.4
Dry Bulk,Bauxite,Capesize,198790,199290,16.2,285.4,45.8
Dry Bulk,Fertilizer,Handysize,31893,32393,7.0,187.0,30.4
Bulk Gases,LPG,LPG Carrier,34005,57668,10.3,187.4,30.5
Dry Bulk,Steel Products,Supramax,46077,52270,11.5,195.0,30.0
Dry Bulk,Grain,Capesize,122242,139971,16.7,301.0,45.8
Dry Bulk,Iron Ore,Handysize,10279,39660,7.9,188.1,30.4
Bulk Gases,Propane,LNG Carrier,115497,166336,11.5,285.4,46.5
Bulk Gases,Propane,Gas Carrier,31578,32078,8.8,168.3,30.6
Dry Bulk,Salt,Capesize,158883,223464,16.1,299.8,44.7
Liquid Bulk,Vegetable Oil,MR Tanker,31224,43678,10.9,189.8,32.0
Bulk Gases,LNG,LPG Carrier,54327,68455,10.7,183.1,29.3
Dry Bulk,Clinker,Handysize,28380,28880,7.9,169.6,29.4
Liquid Bulk,Fuel Oil,Suezmax,141604,186080,16.6,275.4,47.3
Bulk Gases,Ethylene,LPG Carrier,37614,57953,10.5,181.0,29.9
Liquid Bulk,Gasoline,Aframax,114884,116660,13.8,250.0,42.8
Dry Bulk,Iron Ore,Capesize,117368,194326,17.8,295.3,44.3
Dry Bulk,Fertilizer,Capesize,138633,176351,15.2,281.9,45.0
Dry Bulk,Clinker,Supramax,48763,58638,10.4,197.7,33.3
Dry Bulk,Clinker,Panamax,53191,79539,12.3,225.8,31.2
Dry Bulk,Clinker,Panamax,66756,94251,12.8,214.6,32.3
Liquid Bulk,Gasoline,LR1 Tanker,61608,62265,12.8,229.8,36.1
Liquid Bulk,Chemicals,LR1 Tanker,66037,74470,12.5,218.7,35.0
Dry Bulk,Steel Products,Handysize,13358,33588,7.5,179.6,29.4
Liquid Bulk,Crude Oil,Suezmax,150490,187621,15.7,268.8,46.1
Dry Bulk,Cement,Supramax,52204,52704,10.8,202.5,33.1
Dry Bulk,Salt,Panamax,74955,93508,12.5,219.5,30.3
Dry Bulk,Grain,Capesize,175995,195583,15.2,290.7,45.8
Liquid Bulk,Crude Oil,MR Tanker,32661,40350,10.4,169.5,30.5
Dry Bulk,Clinker,Supramax,51672,55113,10.9,182.9,32.8
Dry Bulk,Steel Products,Capesize,170561,171061,15.9,293.5,45.9
Liquid Bulk,Gasoline,LR1 Tanker,52211,76806,13.1,218.4,36.4
Dry Bulk,Fertilizer,Capesize,198929,199429,15.8,286.3,46.6
Bulk Gases,Ethylene,LPG Carrier,38214,47211,9.9,175.3,28.9
Dry Bulk,Iron Ore,Capesize,118055,159662,16.4,300.2,43.4
Dry Bulk,Coal,Capesize,122188,185990,16.3,302.2,46.5
Dry Bulk,Steel Products,Handysize,10406,20911,7.9,184.5,31.7
Liquid Bulk,Petroleum Products,Suezmax,162465,162965,16.6,270.2,50.1
Dry Bulk,Grain,Panamax,79687,80187,12.1,232.0,32.3
Dry Bulk,Grain,Capesize,150259,152493,16.1,294.1,44.9
Dry Bulk,Steel Products,Capesize,155728,196553,16.5,281.7,45.0
Bulk Gases,LPG,Gas Carrier,35431,35931,9.6,175.1,27.2
Dry Bulk,Cement,Supramax,60742,61242,10.7,206.8,31.7
Liquid Bulk,Petroleum Products,Aframax,103783,107374,13.4,245.9,41.4
Dry Bulk,Steel Products,Handysize,11218,35009,7.9,183.0,30.5
Bulk Gases,Ammonia,LNG Carrier,120440,141883,12.1,291.7,45.2
Dry Bulk,Bauxite,Supramax,41553,56112,10.8,202.1,33.3
Dry Bulk,Steel Products,Panamax,78243,88251,12.8,223.0,32.2
Liquid Bulk,Crude Oil,Aframax,101764,118813,14.1,244.3,42.0
Liquid Bulk,Diesel,Suezmax,102566,166088,16.1,266.9,48.1
Dry Bulk,Clinker,Handysize,28644,35837,6.7,182.4,31.0
Liquid Bulk,Petroleum Products,LR1 Tanker,63635,64135,13.2,227.7,35.5
Dry Bulk,Iron Ore,Panamax,69225,80475,13.1,240.3,31.8
Dry Bulk,Steel Products,Supramax,53526,54026,10.3,188.0,32.5
Dry Bulk,Salt,Handysize,23465,31708,7.6,172.4,30.8
Bulk Gases,LPG,LPG Carrier,40598,58536,9.5,181.7,31.7
Liquid Bulk,Vegetable Oil,Aframax,87838,101588,13.7,238.6,43.0
Bulk Gases,LPG,LPG Carrier,16056,43051,10.2,176.1,29.7
Dry Bulk,Cement,Supramax,50452,57214,10.8,194.6,32.0
Liquid Bulk,Diesel,LR1 Tanker,63265,79191,12.2,236.2,36.3
Dry Bulk,Salt,Panamax,67307,81557,13.5,226.2,31.8
Liquid Bulk,Diesel,Suezmax,157365,175350,16.0,274.4,47.5
Dry Bulk,Iron Ore,Capesize,130690,133518,16.3,294.4,45.8
Dry Bulk,Coal,Panamax,91407,91907,13.1,222.0,31.9
Liquid Bulk,Petroleum Products,Aframax,123282,123782,14.1,243.3,43.7
Bulk Gases,Butane,LPG Carrier,40738,68159,9.8,180.9,29.3
Liquid Bulk,Fuel Oil,LR1 Tanker,67612,81482,12.9,238.9,35.3
Dry Bulk,Cement,Handysize,11607,42425,7.9,186.7,30.7
Liquid Bulk,Fuel Oil,Aframax,74730,103076,14.7,247.4,42.2
Bulk Gases,Propane,Gas Carrier,34409,34909,10.5,167.8,29.0
Dry Bulk,Salt,Capesize,156495,165031,15.7,293.4,47.5
Liquid Bulk,Gasoline,LR1 Tanker,59698,71317,12.7,228.4,36.6
Dry Bulk,Grain,Handysize,27035,27535,8.6,175.5,30.4
Liquid Bulk,Chemicals,Suezmax,138715,202471,17.2,276.8,46.7
Liquid Bulk,Diesel,Aframax,106465,111089,15.1,239.8,40.4
Liquid Bulk,Chemicals,MR Tanker,41539,51391,10.3,189.9,32.1
Liquid Bulk,Petroleum Products,LR1 Tanker,62357,75090,12.7,225.8,33.5
Dry Bulk,Fertilizer,Supramax,45076,62202,10.5,191.4,33.8
Dry Bulk,Bauxite,Handysize,25845,37533,7.8,188.1,28.5
Bulk Gases,Ethylene,Gas Carrier,35111,35611,9.3,161.5,27.8
Dry Bulk,Cement,Panamax,79095,101233,13.5,231.3,34.5
Bulk Gases,Propane,LNG Carrier,153730,163557,11.9,286.6,46.1
Dry Bulk,Iron Ore,Supramax,47956,53114,11.1,199.7,32.6
Dry Bulk,Bauxite,Panamax,88596,96677,11.8,235.0,32.9
Bulk Gases,Butane,LPG Carrier,28289,49640,9.9,186.7,30.3
Bulk Gases,Butane,LNG Carrier,135957,136457,12.4,288.9,47.0
Liquid Bulk,Diesel,Suezmax,115125,193509,16.3,279.2,47.8
Dry Bulk,Salt,Capesize,151374,179398,18.0,290.8,44.1
Dry Bulk,Coal,Handysize,37689,38189,7.8,188.0,30.5
Liquid Bulk,Gasoline,MR Tanker,37318,50445,10.5,172.4,31.2
Bulk Gases,Ethylene,LPG Carrier,22037,51102,9.9,184.1,29.7
Liquid Bulk,Vegetable Oil,MR Tanker,35671,55441,10.5,179.7,29.7
Dry Bulk,Salt,Panamax,77603,88847,13.2,225.1,32.6
Dry Bulk,Bauxite,Panamax,49981,80973,12.8,234.5,31.1
Dry Bulk,Steel Products,Panamax,69199,90081,12.6,233.8,33.0
Liquid Bulk,Crude Oil,Aframax,86455,116835,14.0,246.5,41.7
Dry Bulk,Fertilizer,Panamax,97137,97637,12.2,214.7,33.4
Liquid Bulk,Fuel Oil,MR Tanker,31786,49914,11.4,179.2,32.4
Bulk Gases,Propane,LNG Carrier,138466,155476,12.4,292.9,46.5
Dry Bulk,Clinker,Capesize,129668,156231,16.8,286.0,44.6
Bulk Gases,LNG,LPG Carrier,41872,42372,9.7,178.8,30.9
Dry Bulk,Bauxite,Supramax,50968,51468,11.5,201.6,31.8
Dry Bulk,Cement,Panamax,77088,90453,12.6,241.3,34.9
Liquid Bulk,Petroleum Products,Aframax,98955,109825,13.9,233.9,42.2
Bulk Gases,LNG,Gas Carrier,26798,33433,8.1,154.5,27.9
Dry Bulk,Fertilizer,Panamax,91747,92247,13.2,225.7,31.6
Dry Bulk,Iron Ore,Handysize,24099,24599,6.4,187.9,29.8
Liquid Bulk,Gasoline,MR Tanker,34689,48010,10.5,181.4,32.1
Liquid Bulk,Vegetable Oil,Suezmax,179105,179605,15.5,270.5,49.9
Liquid Bulk,Chemicals,Suezmax,162947,188585,15.8,289.2,48.9
Liquid Bulk,Vegetable Oil,LR1 Tanker,59015,73498,12.5,234.2,35.6
Liquid Bulk,Crude Oil,Suezmax,127598,188578,15.7,282.2,48.3
Liquid Bulk,Vegetable Oil,Aframax,69789,94530,13.4,245.2,41.8
Dry Bulk,Steel Products,Supramax,50624,54297,10.4,201.2,35.3
Bulk Gases,LNG,Gas Carrier,15447,20992,8.8,165.1,27.6
Dry Bulk,Fertilizer,Capesize,140852,154052,15.7,290.7,44.5
Dry Bulk,Steel Products,Capesize,144420,174845,15.8,288.9,44.7
Dry Bulk,Coal,Handysize,30106,30606,7.6,180.8,30.6
Dry Bulk,Clinker,Capesize,139476,140873,16.3,290.8,44.9
Dry Bulk,Salt,Capesize,136272,165722,16.7,284.0,43.4
Liquid Bulk,Petroleum Products,LR1 Tanker,55380,73654,12.5,229.8,36.9
Bulk Gases,Butane,LNG Carrier,82251,100845,12.6,283.3,44.5
Liquid Bulk,Crude Oil,LR1 Tanker,69062,74121,12.5,230.6,34.3
Liquid Bulk,Chemicals,LR1 Tanker,61272,62222,11.4,232.8,33.7
Liquid Bulk,Vegetable Oil,Aframax,95722,128101,14.0,245.8,41.9
Liquid Bulk,Petroleum Products,LR1 Tanker,79829,80329,12.8,240.0,35.7
Liquid Bulk,Crude Oil,Aframax,118776,119276,13.6,260.8,42.2
Dry Bulk,Iron Ore,Capesize,154163,193079,17.0,294.2,45.0
Dry Bulk,Bauxite,Supramax,51852,52352,11.2,194.5,33.3
Dry Bulk,Iron Ore,Panamax,90845,91345,13.0,231.1,33.1
Liquid Bulk,Crude Oil,LR1 Tanker,81943,82443,13.1,218.0,34.8
Liquid Bulk,Gasoline,MR Tanker,55362,55862,11.4,184.2,32.1
Liquid Bulk,Crude Oil,Suezmax,177527,178027,16.4,258.1,47.4
Dry Bulk,Bauxite,Panamax,67874,82036,13.4,237.3,32.5
Dry Bulk,Salt,Handysize,44062,44562,7.7,167.0,30.1
Dry Bulk,Coal,Capesize,141994,168804,16.2,284.7,46.4
Bulk Gases,Ammonia,LNG Carrier,95435,111637,12.3,287.6,46.3
Dry Bulk,Bauxite,Panamax,78806,80307,12.8,223.9,33.0
Bulk Gases,LPG,LNG Carrier,98315,140566,12.0,297.4,45.9
Liquid Bulk,Fuel Oil,Aframax,63810,99291,14.5,256.6,42.6
Dry Bulk,Cement,Supramax,56280,56780,10.9,195.6,32.9
Dry Bulk,Clinker,Handysize,30897,31397,7.7,170.2,32.1
Liquid Bulk,Vegetable Oil,Aframax,100291,106695,13.5,244.1,41.5
Dry Bulk,Coal,Panamax,65857,93054,12.0,233.9,31.4
Bulk Gases,Ammonia,LNG Carrier,113756,132718,12.1,289.1,45.7
Dry Bulk,Clinker,Handysize,13399,32589,7.7,181.6,30.4
Bulk Gases,LPG,LNG Carrier,111060,118540,11.7,287.8,47.7
Bulk Gases,LNG,LPG Carrier,21050,34126,10.1,175.2,29.6
Bulk Gases,LNG,Gas Carrier,22619,28647,8.6,163.6,27.9
Dry Bulk,Salt,Handysize,13325,36342,7.3,181.1,29.5
Dry Bulk,Bauxite,Panamax,88212,90868,12.1,246.4,32.4
Dry Bulk,Coal,Handysize,19053,28707,7.8,168.6,30.6
Liquid Bulk,Fuel Oil,MR Tanker,21909,51774,11.5,182.2,33.0
Dry Bulk,Fertilizer,Handysize,12110,28513,6.9,195.5,29.6
Liquid Bulk,Petroleum Products,Aframax,97385,110948,13.9,241.8,40.4
Dry Bulk,Grain,Supramax,56240,60050,10.8,201.9,32.7
Dry Bulk,Fertilizer,Capesize,129707,164419,16.9,296.8,43.4
Liquid Bulk,Chemicals,Suezmax,153998,189965,16.1,280.7,46.2
Bulk Gases,Ethylene,LPG Carrier,48617,60628,9.5,192.3,29.9
Bulk Gases,LNG,LNG Carrier,127814,129326,12.0,287.8,45.0
Dry Bulk,Steel Products,Capesize,139479,162138,16.5,267.7,44.5
Dry Bulk,Grain,Panamax,66095,87851,13.7,242.4,31.9
Liquid Bulk,Crude Oil,Suezmax,156417,166556,16.1,277.8,46.5
Liquid Bulk,Petroleum Products,Aframax,122665,123165,14.4,247.7,40.7
Dry Bulk,Coal,Supramax,54572,55072,9.7,200.4,30.7
Dry Bulk,Salt,Handysize,20186,36971,7.7,178.1,31.3
Dry Bulk,Grain,Supramax,34734,60209,10.7,199.5,32.4
Liquid Bulk,Vegetable Oil,MR Tanker,40914,54603,10.6,183.8,33.0
Liquid Bulk,Diesel,Suezmax,111787,174207,16.3,269.8,47.5
Liquid Bulk,Gasoline,Suezmax,151140,172481,15.9,269.6,49.8
Dry Bulk,Cement,Supramax,44135,58772,10.5,199.8,32.5
Liquid Bulk,Crude Oil,LR1 Tanker,80527,81027,12.7,227.2,36.6
Dry Bulk,Cement,Supramax,51546,52046,10.6,194.4,32.6
Dry Bulk,Bauxite,Supramax,41810,51003,10.8,196.7,32.3
Liquid Bulk,Petroleum Products,MR Tanker,37895,48986,10.2,185.7,31.6
Bulk Gases,Ammonia,LPG Carrier,42199,43463,10.4,180.7,30.1
Liquid Bulk,Vegetable Oil,Aframax,86863,119312,14.1,244.7,41.4
Bulk Gases,Propane,LNG Carrier,126081,147566,12.4,287.9,47.9
Liquid Bulk,Diesel,MR Tanker,28278,48500,10.4,187.2,30.0
Dry Bulk,Clinker,Capesize,106805,180208,15.7,298.5,44.4
Dry Bulk,Coal,Handysize,24966,31534,7.6,191.0,31.6
Dry Bulk,Cement,Capesize,153194,196812,16.8,284.1,43.3
Dry Bulk,Salt,Capesize,158639,201370,15.3,288.6,44.8
Dry Bulk,Coal,Handysize,15949,30876,7.1,177.1,31.2
Dry Bulk,Steel Products,Capesize,89553,159418,16.9,284.6,42.4
Bulk Gases,Ammonia,LNG Carrier,114131,135744,12.1,288.3,46.6
Bulk Gases,Ethylene,LNG Carrier,121201,162034,12.0,296.8,47.3
Bulk Gases,LNG,LPG Carrier,41233,71953,10.5,189.8,29.1
Dry Bulk,Fertilizer,Handysize,20300,46941,6.8,187.0,31.1
Liquid Bulk,Diesel,LR1 Tanker,69355,69855,12.2,236.7,36.1
Liquid Bulk,Gasoline,LR1 Tanker,62620,63637,12.7,221.5,33.7
Dry Bulk,Cement,Panamax,75578,101446,12.7,224.0,32.0
Dry Bulk,Iron Ore,Supramax,53681,54181,10.6,203.2,30.8
Liquid Bulk,Crude Oil,LR1 Tanker,71151,71651,12.3,231.0,36.5
Dry Bulk,Clinker,Handysize,15985,32801,7.8,178.7,29.8
Dry Bulk,Fertilizer,Handysize,17643,27270,7.4,178.2,28.9
Dry Bulk,Iron Ore,Capesize,131107,161334,16.6,290.3,45.6
Bulk Gases,Propane,Gas Carrier,24401,25452,9.2,167.0,28.2
